Rank,Player,GP,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1,Carmelo Anthony (NYK),67,37,10,22.2,44.90%,2.3,6.2,37.90%,6.3,7.6,83.00%,2,4.9,6.9,2.6,0.8,0.5,2.6,28.7,23.2
2,Kevin Durant (OKC),81,38.5,9,17.7,51.00%,1.7,4.1,41.60%,8.4,9.3,90.50%,0.6,7.3,7.9,4.6,1.4,1.3,3.5,28.1,30.4
3,Kobe Bryant (LAL),78,38.6,9.5,20.4,46.30%,1.7,5.2,32.40%,6.7,8,83.90%,0.8,4.7,5.6,6,1.4,0.3,3.7,27.3,24.6
4,LeBron James (MIA),76,37.9,10.1,17.8,56.50%,1.4,3.3,40.60%,5.3,7,75.30%,1.3,6.8,8,7.3,1.7,0.9,3,26.8,32.2
5,James Harden (HOU),78,38.3,7.5,17.1,43.80%,2.3,6.2,36.80%,8.6,10.2,85.10%,0.8,4.1,4.9,5.8,1.8,0.5,3.8,25.9,24
6,Russell Westbrook (OKC),82,34.9,8.2,18.7,43.80%,1.2,3.7,32.30%,5.6,7,80.00%,1.4,3.9,5.2,7.4,1.8,0.3,3.3,23.2,22.6
7,Stephen Curry (GSW),78,38.2,8,17.8,45.10%,3.5,7.7,45.30%,3.4,3.7,90.00%,0.8,3.3,4,6.9,1.6,0.1,3.1,22.9,22.4
8,Dwyane Wade (MIA),69,34.7,8.2,15.8,52.10%,0.2,1,25.80%,4.5,6.2,72.50%,1.2,3.7,5,5.1,1.9,0.8,2.8,21.2,21.9
9,LaMarcus Aldridge (POR),74,37.7,8.6,17.8,48.40%,0,0.2,14.30%,3.8,4.7,81.00%,2.4,6.7,9.1,2.6,0.8,1.2,1.9,21.1,22.8
10,Brook Lopez (BKN),74,30.4,7.7,14.8,52.10%,0,0,0.00%,4,5.3,75.80%,2.8,4.1,6.9,0.9,0.5,2.1,1.8,19.4,19.7
11,Monta Ellis (MIL),82,37.5,7.3,17.5,41.60%,1.1,4,28.70%,3.5,4.6,77.30%,0.5,3.3,3.9,6,2.1,0.4,3.1,19.2,17.3
12,Damian Lillard (POR),82,38.6,6.7,15.7,42.90%,2.3,6.1,36.80%,3.3,3.9,84.40%,0.5,2.6,3.1,6.5,0.9,0.2,3,19,17.3
13,Deron Williams (BKN),78,36.4,6.3,14.4,44.00%,2.2,5.7,37.80%,4.1,4.7,85.90%,0.4,2.6,3,7.7,1,0.4,2.8,18.9,19.5
14,Paul Pierce (BOS),77,33.4,6.2,14.2,43.60%,1.9,5,38.00%,4.3,5.5,78.70%,0.6,5.7,6.3,4.8,1.1,0.4,2.8,18.6,19.2
15,David Lee (GSW),79,36.8,7.6,14.7,51.90%,0,0.1,0.00%,3.2,4.1,79.70%,2.8,8.5,11.2,3.5,0.8,0.3,2.6,18.5,23.8
16,Rudy Gay (TOR),75,35.8,6.9,16.7,41.60%,1.1,3.5,32.30%,3.2,3.9,81.40%,1.3,4.8,6.1,2.7,1.5,0.7,2.6,18.2,16.1
17,DeMar DeRozan (TOR),82,36.7,6.7,15,44.50%,0.4,1.5,28.30%,4.3,5.2,83.10%,0.6,3.3,3.9,2.5,0.9,0.3,1.8,18.1,14.7
18,J.R. Smith (NYK),80,33.5,6.6,15.6,42.20%,1.9,5.5,35.60%,3,3.9,76.20%,0.8,4.5,5.3,2.7,1.3,0.3,1.7,18.1,16
