Rank,Player,GP,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF
1,Carmelo Anthony (NYK),67,12.9,28.8,44.90%,3,8,37.90%,8.2,9.9,83.00%,2.6,6.3,8.9,3.3,1,0.6,3.4,4,37.1,30
2,Kevin Durant (OKC),81,11.2,22.1,51.00%,2.1,5.1,41.60%,10.4,11.5,90.50%,0.7,9.1,9.8,5.8,1.8,1.6,4.3,2.2,35.1,37.9
3,Kobe Bryant (LAL),78,11.8,25.4,46.30%,2.1,6.5,32.40%,8.4,10,83.90%,1.1,5.8,6.9,7.5,1.7,0.4,4.6,2.8,34,30.6
4,LeBron James (MIA),76,12.8,22.6,56.50%,1.7,4.2,40.60%,6.7,8.9,75.30%,1.6,8.6,10.2,9.2,2.1,1.1,3.8,1.8,34,40.8
5,James Harden (HOU),78,9.4,21.5,43.80%,2.9,7.8,36.80%,10.8,12.7,85.10%,1,5.1,6.1,7.3,2.3,0.6,4.7,2.9,32.5,30.1
6,Russell Westbrook (OKC),82,11.3,25.8,43.80%,1.6,5,32.30%,7.7,9.6,80.00%,1.9,5.3,7.2,10.2,2.4,0.4,4.6,3.2,31.9,31.2
7,Kyrie Irving (CLE),59,11.3,25.1,45.20%,2.6,6.5,39.10%,5.8,6.8,85.50%,0.8,4.3,5.1,8.2,2.1,0.5,4.5,3.4,31.1,27.7
8,Brook Lopez (BKN),74,12.1,23.3,52.10%,0,0,0.00%,6.3,8.4,75.80%,4.4,6.5,10.9,1.5,0.7,3.3,2.8,3.2,30.6,31
9,Tony Parker (SAS),66,11.5,22,52.20%,0.5,1.5,35.30%,6.2,7.3,84.50%,0.4,4,4.4,11,1.2,0.1,3.8,2,29.6,30.9
10,Dwyane Wade (MIA),69,11.4,21.9,52.10%,0.3,1.3,25.80%,6.2,8.5,72.50%,1.7,5.2,6.9,7.1,2.6,1.1,3.9,2.8,29.4,30.3
11,Stephen Curry (GSW),78,10.1,22.3,45.10%,4.4,9.7,45.30%,4.2,4.7,90.00%,0.9,4.1,5.1,8.7,2,0.2,3.9,3.2,28.7,28.1
12,Tim Duncan (SAS),69,11.3,22.5,50.20%,0,0.2,28.60%,5.7,6.9,81.70%,2.9,13,15.8,4.3,1.1,4.2,3.4,2.7,28.3,37.9
13,Jamal Crawford (LAC),76,9.6,21.9,43.80%,3.2,8.5,37.60%,4.6,5.3,87.10%,0.5,2.3,2.8,4.2,1.7,0.3,3.1,1.5,27,19.8
14,DeMarcus Cousins (SAC),75,10.1,21.7,46.50%,0.1,0.5,18.20%,6.5,8.9,73.80%,4.7,11,15.6,4.2,2.3,1.1,4.7,5.6,26.8,31.4
15,LaMarcus Aldridge (POR),74,11,22.7,48.40%,0,0.2,14.30%,4.9,6,81.00%,3,8.5,11.5,3.3,1.1,1.6,2.5,3.2,26.8,29
